Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
TRPC5OS;NM_001195576,NM_001195577,NM_001195578;0;0;0;0;0;0
MIR4532;NR_039757;0;0;0;0;0;0
CPQ;NM_016134;38;61;26;52;266;75
SLC26A4;NM_000441;5;3.76;3;3.15;3.03;10.26
MRPL34;NM_023937;192;139;63;224;232;577
CALU;NM_001130674,NM_001199671,NM_001199672,NM_001199673,NM_001219,NR_074086;3758.99;1891.99;2163;7752;2587.95;9071
GOLGA2P5;NR_024261,NR_036632;139;153;78;57;103;104
ITGB1BP2;NM_001303277,NM_012278;10;8;2;3;0;7
SNORD114-11;NR_003204;0;0;0;0;0;0
EBPL;NM_001278636,NM_032565,NR_103802,NR_103803;584;313;231;1154;290;1848
TMEM150C;NM_001080506;1370;1008;575;3;2;0
OR6C4;NM_001005494;0;0;0;0;0;0
THRIL;NR_110375;988.92;734.4;425.35;560.58;89.73;910.98
IRG1;NM_001258406;0;0;0;0;0;0
NAPG;NM_003826;1045;850;433;982.02;495;1514
PSPC1;NM_001042414,NR_003272,NR_044998;1429;1433;611;805;796;1672
MIR331;NR_029895;0;0;0;0;0;0
FAM201A;NR_027294;87;94;34;39;12;82
SFXN2;NM_178858;521;973;162;32;36;135
KCTD21-AS1;NR_102280,NR_102281;12.32;14.12;5.25;4;8.73;11.34
MGAT5;NM_002410;2150;1589;1076;988.93;733.04;1531.96
SNHG5;NR_003038;1308;953;435;1603;846;2860
ACKR2;NM_001296;30;32;25;3;16.02;5
MIR541;NR_030594;0;0;0;0;0;0
MIR5100;NR_049836;0;0;0;0;0;0
LOC200772;NR_033841;0;1;1;0;0;0
CTSB;NM_001908,NM_147780,NM_147781,NM_147782,NM_147783;2023;1034.97;986;6271.36;10645.91;11155.04
CELA3B;NM_007352;0;1;0;0;0;0
USP12;NM_182488;749;790;376;730;621;1549
CAMSAP1;NM_015447;2032;1894;773;949;1079;2620
GOSR1;NM_001007024,NM_001007025,NM_004871;640.15;731.8;292.77;950.4;1195.36;1470.23
CEP68;NM_015147;388.18;482.43;154.34;189.92;656.19;491.58
SBK1;NM_001024401;110;133;59;1.04;17.85;9.32
LINC00940;NR_036546;0;0;0;0;0;0
RCL1;NM_001286699,NM_001286700,NM_001286701,NM_005772;599;558;219;202;277;630
LOC101926942;NR_110657;0;0;0;0;0;0
GTF3C2-AS1;NR_038427;2.99;9.56;1.09;3.25;4.06;2.09
CDK5;NM_001164410,NM_004935;299;227;104;261;312;427
LOC644936;NR_004845;0;0;0;0;0;0
LOC101927394;NR_110131;0;0;0;0;0;0
PSME2;NM_002818;1958;1024;793;1387;1893;2334
MIR6775;NR_106833;0;0;0;0;0;0
LOC101060542;NR_110764;3;1;3;6;4.25;47
COQ10A;NM_001099337,NM_144576;68;47;18;33;43;75
CBLB;NM_170662;275;216;133;462;291;578
DDHD2;NM_001164232,NM_001164234,NM_015214;365;405;208;1879;904;3393
LOC151475;NR_040038;3;1;0;0;1;3.92
GFI1B;NM_001135031,NM_004188;1;0;0;0;0;0
LOC100420587;NR_110759;0;0;1;9;19;18
LOC100506674;NR_109862,NR_109863,NR_109864,NR_109865;0;0;2;2;0;6
ZNF275;NM_001080485;310;298;163;94;207;167
MIR548L;NR_031630;0;0;0;0;0;0
FASTKD2;NM_001136193,NM_001136194,NM_014929;1180;932.01;516;1559.92;1034.61;2497.59
KCNAB2;NM_001199860,NM_001199861,NM_001199862,NM_001199863,NM_003636,NM_172130;86;67;59;7;45;52.04
ISG20L2;NM_001303095,NM_030980;501.65;387.88;205.71;268.23;383.99;610.51
ARF5;NM_001662;1562;995;406;1317;1521;2830
WDR26;NM_001115113,NM_025160;2447;2825;1296;1812;2771;2748
GPC5;NM_004466;0;0;0;1;0;0
MIR4285;NR_036245;0;0;0;0;0;0
STAMBP;NM_006463,NM_201647,NM_213622;677;495;288;798;847;1493
VTI1A;NM_145206;579;583;223;531;500;792
LINC00371;NR_102431,NR_102432;3;1.01;2;1.67;2;0
HIST1H2AA;NM_170745;1;0;0;0;0;0
FBXL17;NM_001163315;542;660;226;839;879.13;998
C11orf91;NM_001166692;0;0;1;39;10;36
SYTL1;NM_001193308,NM_032872;615;482;293;190;855;577
ZWILCH;NM_001287821,NM_001287822,NM_001287823,NM_017975;1009.27;839.96;341.66;668.45;137.73;1491.74
SMG7;NM_001174061,NM_173156,NM_201568,NM_201569;853;1259;543;316;954;629
LOC100505912;NR_037877;0;1;1;6;8;6
KRCC1;NM_016618;377;253;145;584;491;921
FAM195A;NM_138418;280;178;63;286;341;1039
NDUFB9;NM_001278645,NM_001278646,NM_005005;4015;2474;1639;2619;1074;4279
CASS4;NM_001164114,NM_001164115,NM_001164116,NM_020356;4;5;8;1;2;0
SNORD115-6;NR_003298;0;0;0;0;0;0
MIR548M;NR_031667;0;0;0;0;0;0
IFNA8;NM_002170;0;0;0;0;1;0
FAM231A;NM_001282321,NM_001282321_chr1:17060446_17060956;4;6;0;1;9;1
HSPA6;NM_002155;13;26;6;13;34;13
MIR4255;NR_036217;0;0;0;0;0;0
LCP2;NM_005565;0;0;0;0;0;0
C20orf197;NM_001302813,NM_001302815,NM_173644,NR_126504;3;15;2;0;0;0
OTOP1;NM_177998;0;0;0;0;0;0
KCNQ5-IT1;NR_120503;0;0;0;0;0;0
TTTY23;NR_001540,NR_001540_chrY:9748406_9749571;0;0;0;0;0;0
PLAA;NM_001031689;767;672;345;1113.67;719.92;1601
GUCY2GP;NR_028134;0;0;0;1;0;0
LOC100132831;NR_027761;0;0;0;0;0;0
LNX2;NM_153371;762;785.84;362;682.03;531.2;1003.25
FLJ27354;NR_033981;2;0;0;0;0;0
MIR3121;NR_036067;0;0;0;0;0;0
GTF3A;NM_002097;1925;1082;488;1178;827;2946
ZNF738;NR_027130;87.01;71.57;64.98;14.16;2.79;7.25
CD1D;NM_001766;0;0;0;0;0;0
JADE1;NM_001287437,NM_001287439,NM_001287440,NM_001287441,NM_001287442,NM_001287443,NM_024900,NM_199320;420;375;146;651.63;361.97;1027
LOC101927459;NR_125416,NR_125417;0;0;0;0;0;0
LOC101927348;NR_110915;0;0;0;0;1;0
GPR89A;NM_001097612,NM_001097613,NR_036541;1156.51;867.96;593.14;523.78;414.58;639.12
ARID3B;NM_006465;119;169;71;9;25;23
RPUSD2;NM_001286407,NM_152260;171;112;47;97;176;333
FAM221B;NM_001012446,NR_052026;1;2;1;0;6;0
LOC100128593;NR_033913;0;0;0;0;0;0
CCDC175;NM_001164399;0;0;0;0;0;0
MAP1LC3C;NM_001004343;11.37;13.02;3.02;5.83;5.19;5.34
EFNA3;NM_004952;99;70;57;170;313;376
RGS4;NM_001102445,NM_001113380,NM_001113381,NM_005613;0;0;0;0;0;4
FCGBP;NM_003890;10;9;8;2;59;4
ACHE;NM_000665,NM_001282449,NM_001302621,NM_001302622,NM_015831;46;23;21;2;1;1
IFT81;NM_001143779,NM_014055,NM_031473;123;109;74;293;294;461
MIR3150A;NR_036105;0;0;0;0;0;0
AP1S3;NM_001039569,NR_110905,NR_110906;330;325;164;1163.12;529.38;3164.54
OR2W1;NM_030903;0;0;0;0;0;0
KYNU;NM_001032998,NM_001199241,NM_003937;2839;1445;788;7290;3435;18386
FBXO28;NM_001136115,NM_015176,NR_049764;1257;913;513;1579;1118;2386
SNAI1;NM_005985;15;7;1;114;62;216
CHI3L1;NM_001276;0;3;1;0;130;2
OR56B1;NM_001005180;0;0;0;0;0;0
GIMAP1;NM_130759;0;0;0;0;0;0
TRIM54;NM_032546,NM_187841;4;3;4;0;1;0
OVCH1;NM_183378;0;0;0;13;2;4
GMIP;NM_001288998,NM_001288999,NM_016573;450;354;204;119;189;381
C7orf55-LUC7L2;NM_001244584;609.42;551.1;277.3;1062.76;794.71;892.71
CFHR2;NM_005666;0;0;0;0;0;0
SRPX;NM_001170750,NM_001170751,NM_001170752,NM_006307;15;9;6;56;44;120
POTEH-AS1;NR_046571_chr22:16274608_16277577;0.67;2;0;0;0;0
ERMAP;NM_001017922,NM_018538;167;169;61;262;292;351
GTSE1-AS1;NR_024009;17;9;5;4;4;6
TRIP6;NM_003302;1597;1323;544;1469;2411;3540
HEATR5A;NM_015473;1080;1125;469;1797.69;1161.04;1716.25
LINC01314;NR_120317;1;3;2;0;1;1
LINC01558;NR_026773;1;1;1;0;0;1
EGFLAM-AS2;NR_102749,NR_102750;0;0;0;0;0;0
SNORD80;NR_003940;0;0;0;0;0;0
LINC00160;NR_024351;2;2;0;0;0;5
DKFZP434L187;NR_026771;0;1;0;0;0;0
URB1;NM_014825;1710;1506.87;749;1141.99;1667.03;2330.36
PPM1N;NM_001080401;20;22;4;17;23;33
NEK3;NM_001146099,NM_002498,NM_152720,NR_027415;84;79;46;122;71;252
ZNF571;NM_001290314,NM_016536;81;86;32;26;33;52
RBBP9;NM_006606;493;328;197;304.88;629.09;502.04
NOTO;NM_001134462;1;0;0;0;0;0
LOC101928131;NR_121677;0;0;0;0;0;0
BANF1;NM_001143985,NM_003860;1047;893;391;500;343;1293
KCNK2;NM_001017424,NM_001017425,NM_014217;216;169;52;171;213;331
CHDH;NM_018397;162;123;47;220.58;388.05;432.03
TBC1D3F;NM_032258_chr17:34746118_34808060;0;0;3.57;0;26.15;0
LOC101929153;NR_104619;0;0;0;0;0;0
COL19A1;NM_001858;0;0;0;0;0;0
LOC221122;NR_026681;0;1;0;0;0;0
PIWIL3;NM_001008496,NM_001255975,NR_045648,NR_045649;1;3.32;0;1;0;0
ALG14;NM_144988;85;48;48;304;207;481
PCDHB15;NM_018935;18.59;45.36;11.12;3.51;2.1;1
ANXA13;NM_001003954,NM_004306;0;0;1;2;0;0
CWF19L2;NM_152434;183;159;67;337;314;422
LOC100129917;NR_036511,NR_036512;152;150;75;50.1;21.03;73.21
TP53I3;NM_001206802,NM_004881,NM_147184;298;216;84;1249;325;2308
VPS18;NM_020857;743;566;263;443;879;713
RPL6;NM_000970,NM_001024662;19434;14020;6820;13957;11600;38188
P4HA1;NM_000917,NM_001017962,NM_001142595,NM_001142596;1330;700;739;1404;606;1635
LIPG;NM_006033;10;2;5;326;53;1084
SMYD4;NM_052928;425;459.3;169;204.05;242.09;364.37
AADAT;NM_001286682,NM_001286683,NM_016228,NM_182662;67;76;42;15;9;58
ZNF630-AS1;NR_046742;0;0;3;0;0;0
ZCCHC10;NM_001300816,NM_001300817,NM_001300818,NM_001300819,NM_001300822,NM_001300825,NM_017665,NR_125337;250;161;111;555;257;713
JUP;NM_002230,NM_021991;6874;6597;2793;3192;3935;7049
PRY2;NM_001002758,NM_001002758_chrY:24217902_24242154;0;0;0;0;0;0
KLF9;NM_001206;360;382;190;1057;243;1168
DNAJC8;NM_014280;1109;800;385;1131;752;2025
RPL15;NM_001253379,NM_001253380,NM_001253382,NM_001253383,NM_001253384,NM_002948;17834.61;13234.87;6541.35;14078.09;16434.51;33881.95
LINC01055;NR_125786;0;1;0;0;0;1
VANGL1;NM_001172411,NM_001172412,NM_138959;1934;1549;1011;1777;602;1835
CSNK1A1;NM_001025105,NM_001271741,NM_001271742,NM_001892;5196;3944;2215;8548;5524;11025
UNC45A;NM_001039675,NM_018671;2131;1554;686;1339;1589;2377
MSANTD3-TMEFF1;NM_001198812;46.4;16.68;28.68;68.24;26.16;91.82
MIR3689C;NR_039691;0;0;0;0;0;0
PVRL4;NM_030916;511;336;277;687;968;529
MRPL10;NM_145255,NM_148887,NR_037575;1437;876;409;492;545;1104
GABRB2;NM_000813,NM_021911;1;2;0;4;0;2
ATP5S;NM_001003803,NM_001003805,NM_015684,NR_033761;164;182.39;83;79.58;111.71;270.58
PEMT;NM_001267551,NM_001267552,NM_007169,NM_148172,NM_148173;247;157;74;70;136;167
LIN52;NM_001024674;205;164;90;67.47;63.35;160.04
UBE2DNL;NR_024062;0;0;0;0;0;0
ACTA1;NM_001100;0;0;0;0;0;0
AP3S1;NM_001284;779;627;324;904;581;2240
KRTAP4-3;NM_033187;0;0;0;0;0;0
ATL3;NM_001290048,NM_015459;3064;2453;1333;8980.96;3959;10023.65
WDR82;NM_025222;1437;1126;514.99;2556.76;2134.15;4229.41
FRS2;NM_001042555,NM_001278351,NM_001278353,NM_001278354,NM_001278355,NM_001278356,NM_001278357,NM_006654;1292;1373;626;560;790;883
XPA;NM_000380,NR_027302;148;141;86;109;133;249
RBM44;NM_001080504;2;8;0;8;5;8
RPL36A;NM_001199972,NM_021029;10736.54;7355.98;3798.26;4314.53;3338.31;10934.23
ZNF236;NM_007345;475;554;208;318;437;540
ARHGAP6;NM_001287242,NM_006125,NM_013423,NM_013427,NR_109776;0;3;0;0;0;0
PAFAH1B1;NM_000430;2651;2664;987;3947;3674;5659
OR4K1;NM_001004063;0;0;0;0;0;0
GP9;NM_000174;0;0;0;0;0;0
FEM1C;NM_020177;550;586;217;621;541;831
DGCR6L;NM_033257;576.87;328.8;114.99;130.92;337.54;356.06
LINC01012;NR_038292,NR_038293,NR_038294;30;40;14;22.01;19;18.11
LINC00892;NR_038461,NR_038462;0;0;0;0;0;0
MYCT1;NM_025107;0;0;0;0;1;0
KRTAP12-4;NM_198698;0;0;0;0;0;0
DEC1;NM_017418;0;0;0;0;0;0
LNP1;NM_001085451;36.19;23.12;9;10.02;2.01;32.14
EQTN;NM_001161585,NM_020641;0;0;0;0;0;0
ATP13A4;NM_032279;26;28.82;16;1368.04;172.66;230.07
ASAP1;NM_001247996,NM_018482;649;1173;340;212;527;784
FAM129B;NM_001035534,NM_022833;4231;3081;1437;5164;7012;15356
TTC5;NM_138376;380;264;134;199;264;452
PMP22;NM_000304,NM_001281455,NM_001281456,NM_153321,NM_153322,NR_104017,NR_104018;1108;477;134;4;0;4
HIST1H2AI;NM_003509;2902.6;1667.62;520.89;772.53;205.62;3625.16
ARX;NM_139058;11;13;5;10;1;9
TMEM116;NM_001193453,NM_001193531,NM_001294314,NM_138341,NR_122119;150;138;59;121;137;172
NFKBIZ;NM_001005474,NM_031419;764.35;697.15;473;413;1323;1196.06
GOLGA8H;NM_001282490;9.54;17.48;2.21;24.38;15.56;13.28
KRTAP4-6;NM_030976;0;0;0;0;0;0
LINC01094;NR_038303,NR_038304,NR_038305,NR_038306,NR_038307,NR_038308;0;0;0;12.95;0;14
MIR1245A;NR_031647;0;0;0;0;0;0
KLHL42;NM_020782;686;675;305;953.07;601;1829
MIR6832;NR_106890;0;0;0;0;0;0
LRRC4C;NM_001258419,NM_020929,NR_047673,NR_047674;2;0;1;1;5;0
CHST8;NM_001127895,NM_001127896,NM_022467;19;18;16;0;0;0
LINC01219;NR_126400;0;0;0;0;0;0
CEP290;NM_025114;496.34;600.71;303.05;375.24;367.88;853.06
MIR4531;NR_039756;0;0;0;0;0;0
SLC12A9;NM_001267812,NM_001267814,NM_020246;1369;876;503;411;663;967
KRT15;NM_002275;100;113;70;98463.01;76259.04;110073
PRADC1;NM_032319;292;166;81;158;178;354
NMT1;NM_021079;1508;1212;572;1391;1531;2786
TCF7L1;NM_031283;7;33;4;3;6;1
TOPAZ1;NM_001145030;0;0;0;0;0;1
IMPA1;NM_001144878,NM_001144879,NM_005536;200;177;79;556;328;1119
CSNK2A1;NM_001895,NM_177559,NM_177560;1941.93;1327.52;732;2362.07;2144.48;4467.2
LOC388813;NM_001256579;0;1;0;0;1;0
ZNF100;NM_173531;308;247;133;183;110;279.02
KCNJ10;NM_002241;9;1;2;1.01;3;2
DIRAS3;NM_004675;0;1;2;3;61;2
TBC1D10B;NM_015527;801;625;226;586;829;1378
OR5D18;NM_001001952;0;0;0;0;0;0
PPAPDC2;NM_203453;470;306;235;368;349;384
RBPMS2;NM_194272;1;1;1;0;1;1
LOC100505530;NR_126057;0;2;0;0;0;0
TAC4;NM_001077503,NM_001077504,NM_001077505,NM_001077506,NM_170685;7.77;5;2;0;3;0
TRAF3IP1;NM_001139490,NM_015650;182;188;80;460.03;340.04;836.17
FRMPD2;NM_001018071;5;4;6;9.75;35.64;9
CCNO;NM_021147,NR_125346,NR_125347,NR_125348;20;15;4;58;124;98
NAV2;NM_001111018,NM_001111019,NM_001244963,NM_145117,NM_182964;1053.65;724.68;743.65;431.16;639.66;1594.9
FLVCR2;NM_001195283,NM_017791;796.24;659;376.41;63;89.49;311
DCTN5;NM_001199011,NM_001199743,NM_032486,NR_037573;2515;2081;1116;1765.69;2349.47;2970.67
BCAN;NM_021948,NM_198427;6;7;3;5;29;40
PTH2;NM_178449;0;0;0;0;0;0
MIR6778;NR_106836;0;0;0;0;0;0
KCTD16;NM_020768;0;1;0;2;6;7
TPRXL;NR_002223;0;0;0;9;9;12
LAMP5-AS1;NR_109957;0;0;0;0;0;0
C6orf89;NM_001286635,NM_001286636,NM_001286637,NM_152734;1902;1174;953;1716.15;1554;2011.52
OOEP;NM_001080507;7;3;0;0;0;0
SAPCD2;NM_178448;1648;1252;407;797;186;2043
ZNF460;NM_006635;1845;1521;948;2466.06;2585;1804
LINC01215;NR_110028,NR_110030;1;0;0;0;0;0
TRAPPC9;NM_001160372,NM_031466;724;986;336;438;828;723
NSMCE2;NM_173685;704;449;227;450;335;780
PAK7;NM_020341,NM_177990;3;1;1;0;6;0
FAM47C;NM_001013736;0;0;0;0;0;0
TWIST1;NM_000474;15;12;3;210;79;540
MIR3153;NR_036108;0;0;0;0;0;0
OR4K17;NM_001004715;0;0;0;0;0;0
SNPH;NM_014723;2;7;3;48;108;100
LOC149950;NR_034152;0;0;0;0;0;0
ZNF30;NM_001099437,NM_001099438,NM_194325,NR_024018;121;144;52;42;44;96
MIR3688-2;NR_039963;0;0;0;0;0;0
LOC101928128;NR_110651;0;0;0;0;0;0
LOC643201;NR_036494;8;9;5;0;1;0
LOC102724201;NR_125875,NR_125876,NR_125877;0;0;0;1;2;3
ZNF189;NM_001278231,NM_001278232,NM_001278240,NM_003452,NM_197977,NR_103480;377;284;154;346;383;392
MIR6715A;NR_106771;0;0;0;0;0;0
ALB;NM_000477;0;0;0;0;3;0
CYP1B1;NM_000104;1523;1954;980;4928;2846;8086
R3HDM2;NM_014925;404;516;204;275.03;683.21;562
DSC3;NM_001941,NM_024423;3.55;4.23;3.37;3315.01;837.32;1063.43
POTEI;NM_001277406;44.85;41.31;16.45;0;0;0
MIR877;NR_030615;0;0;0;0;0;0
CLEC14A;NM_175060;0;0;0;0;0;0
NT5C3A;NM_001002009,NM_001002010,NM_001166118,NM_016489;720;473;358;1078;729;1686
NDUFA3;NM_004542;613;295;189;471;535;1479
LOC646522;NR_120444;0;0;0;0;0;0
LOC100506085;NR_037878;0;0;0;0;0;0
SMG1P3;NR_027155;2151.13;3924.12;1325.55;1196.01;1290.9;1207.16
ATAD3A;NM_001170535,NM_001170536,NM_018188;713.53;574.25;219.14;356.39;255.54;1684.22
LOC51145;NR_122032;0;0;0;0;1;0
MIR6126;NR_106741;0;0;0;0;0;0
MIR3927;NR_037493;0;0;0;0;0;0
SNORA78;NR_003020;20;23;12;5;32;12
C9orf84;NM_001080551,NM_173521,NR_109816;11;29;7;9;8;4
ASB8;NM_024095;347;270;127;323.3;454.07;473.05
MIR634;NR_030364;0;0;0;0;0;0
RHNO1;NM_001252499,NM_001252500,NM_001257097,NM_001257098,NR_027365,NR_046432,NR_046433;558;367;170;341.01;319;826
CAMK2G;NM_001204492,NM_001222,NM_172169,NM_172170,NM_172171,NM_172173;767;671;311;1507;2367;2091
ROPN1B;NM_001012337;0;2;0;2.1;9.8;2
SNX24;NM_014035;269;232;128;304;168;900
PCYT2;NM_001184917,NM_001256433,NM_001256434,NM_001256435,NM_001282203,NM_001282204,NM_002861;770;620;205;359;376;822
MIRLET7A1;NR_029476;0;0;0;0;0;0
ZMAT2;NM_144723;1610;946;473;1297;857;2375
PCSK2;NM_001201528,NM_001201529,NM_002594;84;30;17;0;0;0
LINC00395;NR_047011;0;0;0;0;1;0
EDC4;NM_014329;1661;1264;477;1069;1320;2099
LOC643441;NR_038846;0;0;0;0;0;0
GOLGA2P9;NR_033899;0;0;0;13;16;6
CHD5;NM_015557;342;361;200;0;2;3
CCDC71;NM_022903;154;154;61;127;278;337
MFI2-AS1;NR_038285;12;17;15;8;11;52
RDX;NM_001260492,NM_001260493,NM_001260494,NM_001260495,NM_001260496,NM_002906;5399;5299;3550;2993;2218;9325
HAUS7;NM_017518,NR_073156;413;239;87;59;49;239
EMCN;NM_001159694,NM_016242;57;77;30;3.05;1;0
KCNA2;NM_001204269,NM_004974;0;0;0;0;0;0
CD5;NM_014207;9;16;6;0;1;3
